"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем что пользователь переходит на страницу Самоката при нажатии на логотипю","242","Переход на домашнюю страницу Самоката","tests","Tue Jun 24 16:02:11 MSK 2025","passed","Tue Jun 24 16:02:11 MSK 2025","TestHomePage","test_home_page","",""
"Переходим в раздел: ""Вопросы о важном"" и проверям что каждому вопросу соответствует верный ответ.","254","Проверка ответов на часто задаваемые вопросы","tests","Tue Jun 24 16:02:01 MSK 2025","passed","Tue Jun 24 16:02:01 MSK 2025","TestFaqPage","test_faq_page","",""
"Переходим в раздел: ""Вопросы о важном"" и проверям что каждому вопросу соответствует верный ответ.","257","Проверка ответов на часто задаваемые вопросы","tests","Tue Jun 24 16:02:04 MSK 2025","passed","Tue Jun 24 16:02:05 MSK 2025","TestFaqPage","test_faq_page","",""
"Переходим в раздел: ""Вопросы о важном"" и проверям что каждому вопросу соответствует верный ответ.","255","Проверка ответов на часто задаваемые вопросы","tests","Tue Jun 24 16:02:07 MSK 2025","passed","Tue Jun 24 16:02:08 MSK 2025","TestFaqPage","test_faq_page","",""
"Проверяем что пользователь переходит на страницу Яндекс при нажатии на логотипю","1814","Переход на домашнюю страницу Яндекс","tests","Tue Jun 24 16:02:14 MSK 2025","passed","Tue Jun 24 16:02:15 MSK 2025","TestHomePage","test_home_page","",""
"Переходим в раздел: ""Вопросы о важном"" и проверям что каждому вопросу соответствует верный ответ.","257","Проверка ответов на часто задаваемые вопросы","tests","Tue Jun 24 16:01:52 MSK 2025","passed","Tue Jun 24 16:01:52 MSK 2025","TestFaqPage","test_faq_page","",""
"Переходим в раздел: ""Вопросы о важном"" и проверям что каждому вопросу соответствует верный ответ.","277","Проверка ответов на часто задаваемые вопросы","tests","Tue Jun 24 16:01:58 MSK 2025","passed","Tue Jun 24 16:01:58 MSK 2025","TestFaqPage","test_faq_page","",""
"Проверяем создание заказа с разными наборами данных и из разных точек входа.","3003","Оформление заказа Самоката","tests","Tue Jun 24 16:02:18 MSK 2025","passed","Tue Jun 24 16:02:21 MSK 2025","TestOrderPage","test_order_page","",""
"Переходим в раздел: ""Вопросы о важном"" и проверям что каждому вопросу соответствует верный ответ.","260","Проверка ответов на часто задаваемые вопросы","tests","Tue Jun 24 16:01:46 MSK 2025","passed","Tue Jun 24 16:01:46 MSK 2025","TestFaqPage","test_faq_page","",""
"Проверяем создание заказа с разными наборами данных и из разных точек входа.","2985","Оформление заказа Самоката","tests","Tue Jun 24 16:02:24 MSK 2025","passed","Tue Jun 24 16:02:27 MSK 2025","TestOrderPage","test_order_page","",""
"Переходим в раздел: ""Вопросы о важном"" и проверям что каждому вопросу соответствует верный ответ.","256","Проверка ответов на часто задаваемые вопросы","tests","Tue Jun 24 16:01:55 MSK 2025","passed","Tue Jun 24 16:01:55 MSK 2025","TestFaqPage","test_faq_page","",""
"Переходим в раздел: ""Вопросы о важном"" и проверям что каждому вопросу соответствует верный ответ.","255","Проверка ответов на часто задаваемые вопросы","tests","Tue Jun 24 16:01:49 MSK 2025","passed","Tue Jun 24 16:01:49 MSK 2025","TestFaqPage","test_faq_page","",""
